"gamma","lambda_0","theta"
15.8899092916517,15.221170576948,1.30160810533009
17.2789222392778,13.9304703723012,1.16277806106173
17.9792127351974,14.3931929236793,1.29687438663448
17.2500822045121,14.304815816699,1.27435431084931
17.1538995145163,14.4159094441187,1.2792192107346
17.8227453485063,14.3272593735025,1.23433013194011
17.4425022922812,14.4585137375795,1.3475280924832
17.6974316847405,14.547861369377,1.29854692967739
17.2501999815094,14.4882241487092,1.28663168829593
17.5591312986579,15.2094149621114,1.42818546231613
18.4837546949759,14.6229893036852,1.39205330022321
17.6043305872752,14.1909756934198,1.29837108094255
18.0572145035731,14.4009546909846,1.32357133260992
16.6148917989245,15.30949328082,1.44419333787489
17.9563909368015,14.9204295741262,1.40318692052458
18.668015489014,14.264925815839,1.3718986971811
16.999939836768,15.2839739774038,1.36779158785483
16.1338550241817,14.9277839776664,1.24964105150349
16.4865857067159,14.3764552574355,1.24363049942283
16.9467321799954,14.3502834414177,1.23112976236123
17.4569759187115,14.73540903766,1.39224562560722
16.7895083883564,14.480806204618,1.23556639659322
17.6601980420781,15.1581485232869,1.43320709182152
17.3496346411567,15.0379313918462,1.38569518637431
16.0419549294471,14.5896351356243,1.14642427653962
16.7681062167888,14.5583319842811,1.28881206906438
16.9813583579103,14.7889768535159,1.32134349056488
17.8416182293861,14.6488183702751,1.41126796895893
17.7428977511806,13.9130024893485,1.23503224947664
16.0115959556485,14.6088067458593,1.25052317469674
16.2327119131158,14.5959453733262,1.24841102963919
18.2001674295984,14.7133415415891,1.39036689459243
15.9314408800647,14.5176947822202,1.1476256663028
17.4096066973572,15.0825036080329,1.40276034597561
18.0687808033461,16.3377410860476,1.59446984693337
17.3942968370897,14.4517320245274,1.30014380416573
17.5430576607822,14.671566389674,1.27725936941702
18.066250065888,14.7986973732438,1.35855702992915
16.933611177296,14.1379526355066,1.21355696647172
18.5852465023344,13.9735854782391,1.21102020636296
16.9016309537871,14.5127944046501,1.21872728209577
16.4099418651872,14.6588531789709,1.25342334539259
17.5531698848012,15.3188621761218,1.41048249584369
17.1018362308743,14.5856955759444,1.32031096545726
18.7218444508118,14.2248738748175,1.29888344219448
16.6762952566808,15.1004118024664,1.34418039836291
17.5108724318205,15.2187399110724,1.49877878510349
17.7818982377963,14.2259197614885,1.27356677235986
18.2715336942091,14.1953863296077,1.27638547451419
17.7513088654935,14.2303102695364,1.28244538571987
17.6422830434953,14.5162172747893,1.3769621407492
15.8924999425807,14.0467705301071,1.09845640672877
17.6838849035131,14.0549704250774,1.17465324682554
17.0395638675877,14.4767871871902,1.29177272717742
16.0850234662032,14.6450636169881,1.25275720120833
17.2314281164449,14.3485574771417,1.27109743471029
17.5739428456086,13.8733522947757,1.20831033158582
17.8797079019361,15.1396890591813,1.44522274553157
17.0283957955087,14.2802075276051,1.17476072521389
17.4941984472977,14.1446535550163,1.26504873854472
17.0947128874718,14.9236396346078,1.36274887638012
16.4209478333597,15.0918287423914,1.34486375803451
16.9256930972283,14.6757373997732,1.27043610793015
18.0664329052137,13.8196867419914,1.16919621620322
18.5640952036591,14.6564380238557,1.33491886545891
16.3941422545669,14.462399247573,1.19023639812271
17.8575374649965,14.3975822319767,1.34312880126439
15.8598696964719,14.7815647062509,1.15474193113142
17.4073353442667,14.8484358350351,1.39005314478841
17.1655517723041,14.0185024484011,1.19758807028395
16.9354326521268,14.7261940161573,1.30117686022924
16.7350716873658,15.0294706882532,1.31339072602947
16.3608023542021,14.4164664732388,1.21545273334166
18.4475599397395,14.2048819202319,1.29553190438382
16.8101798848462,14.2891451719805,1.17606525455593
18.502341314372,14.8086309758383,1.45279941744336
17.1107223113612,14.7273353387788,1.32281291546565
17.3286788265955,15.1554558412771,1.38173295351258
18.5193153610912,14.6471609140242,1.39175858597179
18.65513891149,14.2780029545148,1.42271692146719
15.9156716226308,15.0706319111413,1.29404239580661
18.0536378955771,14.5443652188365,1.31485607954447
16.3998967099822,14.5530250281928,1.24545874485426
16.8269972950511,14.9636616789055,1.32057230654916
17.1910568796186,14.0942761363781,1.21145999143394
15.4871107920219,15.7155028257438,1.3427957936078
18.0563090811611,14.7338059090336,1.48198433882029
17.2346485750903,14.5166026744533,1.27649373791297
16.8604037077595,15.1324180897264,1.34713085853493
18.8542207306271,13.8384080828132,1.3349090744939
17.26675143943,14.3850055272467,1.29439608409059
